

The answers for the other 4 questions are saved within the file extraCredit.sql

####################################################################
# What's the count of how many patients have each kind of illness? #
####################################################################

Here is the query result. The distribution of the number of patients have each kind of illness.
+----------------------------------+
| I.Name  | COUNT(DISTINCT P.Name) |
| "I781"  | 16                     |
| "I625"  | 15                     |
| "I140"  | 13                     |
| "I945"  | 10                     |
| "I59"   | 17                     |
| "I459"  | 14                     |
| "I466"  | 13                     |
| "I751"  | 19                     |
| "I516"  | 16                     |
| "I289"  | 18                     |
| "I33"   | 15                     |
| "I249"  | 11                     |
| "I391"  | 17                     |
| "I287"  | 18                     |
| "I726"  | 17                     |
| "I464"  | 18                     |
| "I849"  | 16                     |
| "I272"  | 13                     |
| "I291"  | 12                     |
| "I470"  | 17                     |
| "I30"   | 11                     |
| "I404"  | 15                     |
| "I925"  | 14                     |
| "I321"  | 12                     |
| "I230"  | 10                     |
| "I545"  | 14                     |
| "I386"  | 10                     |
| "I541"  | 10                     |
| "I403"  | 18                     |
| "I270"  | 17                     |
| "I684"  | 17                     |
| "I153"  | 13                     |
| "I475"  | 15                     |
| "I563"  | 14                     |
| "I741"  | 13                     |
| "I555"  | 24                     |
| "I227"  | 14                     |
| "I267"  | 11                     |
| "I468"  | 16                     |
| "I764"  | 18                     |
| "I199"  | 6                      |
| "I82"   | 18                     |
| "I522"  | 11                     |
| "I83"   | 17                     |
| "I132"  | 13                     |
| "I931"  | 16                     |
| "I895"  | 16                     |
| "I757"  | 10                     |
| "I719"  | 13                     |
| "I366"  | 16                     |
| "I716"  | 22                     |
| "I903"  | 18                     |
| "I693"  | 11                     |
| "I968"  | 9                      |
| "I994"  | 14                     |
| "I671"  | 16                     |
| "I244"  | 12                     |
| "I345"  | 12                     |
| "I526"  | 15                     |
| "I985"  | 17                     |
| "I120"  | 21                     |
| "I963"  | 22                     |
| "I418"  | 16                     |
| "I438"  | 16                     |
| "I292"  | 19                     |
| "I784"  | 16                     |
| "I920"  | 17                     |
| "I9"    | 9                      |
| "I113"  | 14                     |
| "I543"  | 17                     |
| "I136"  | 11                     |
| "I303"  | 16                     |
| "I606"  | 19                     |
| "I358"  | 14                     |
| "I831"  | 18                     |
| "I126"  | 12                     |
| "I85"   | 14                     |
| "I890"  | 7                      |
| "I355"  | 18                     |
| "I225"  | 18                     |
| "I352"  | 16                     |
| "I57"   | 13                     |
| "I388"  | 18                     |
| "I231"  | 20                     |
| "I63"   | 9                      |
| "I316"  | 21                     |
| "I325"  | 20                     |
| "I838"  | 12                     |
| "I926"  | 19                     |
| "I770"  | 17                     |
| "I182"  | 10                     |
| "I521"  | 11                     |
| "I703"  | 19                     |
| "I264"  | 21                     |
| "I257"  | 20                     |
| "I114"  | 12                     |
| "I55"   | 16                     |
| "I31"   | 8                      |
| "I559"  | 12                     |
| "I534"  | 11                     |
| "I987"  | 13                     |
| "I612"  | 17                     |
| "I192"  | 19                     |
| "I812"  | 13                     |
| "I704"  | 18                     |
| "I37"   | 21                     |
| "I80"   | 16                     |
| "I385"  | 12                     |
| "I617"  | 16                     |
| "I830"  | 19                     |
| "I986"  | 17                     |
| "I964"  | 15                     |
| "I956"  | 19                     |
| "I786"  | 21                     |
| "I613"  | 11                     |
| "I601"  | 15                     |
| "I456"  | 15                     |
| "I186"  | 11                     |
| "I940"  | 20                     |
| "I451"  | 18                     |
| "I336"  | 13                     |
| "I774"  | 24                     |
| "I34"   | 15                     |
| "I259"  | 14                     |
| "I901"  | 18                     |
| "I591"  | 18                     |
| "I254"  | 19                     |
| "I228"  | 18                     |
| "I226"  | 14                     |
| "I124"  | 26                     |
| "I115"  | 16                     |
| "I739"  | 17                     |
| "I752"  | 24                     |
| "I722"  | 14                     |
| "I728"  | 15                     |
| "I333"  | 16                     |
| "I899"  | 16                     |
| "I846"  | 9                      |
| "I616"  | 22                     |
| "I603"  | 15                     |
| "I268"  | 17                     |
| "I457"  | 17                     |
| "I811"  | 10                     |
| "I351"  | 19                     |
| "I204"  | 19                     |
| "I546"  | 11                     |
| "I262"  | 15                     |
| "I205"  | 9                      |
| "I187"  | 13                     |
| "I362"  | 10                     |
| "I588"  | 11                     |
| "I960"  | 16                     |
| "I801"  | 11                     |
| "I7"    | 17                     |
| "I474"  | 13                     |
| "I853"  | 10                     |
| "I772"  | 11                     |
| "I713"  | 19                     |
| "I829"  | 13                     |
| "I737"  | 18                     |
| "I800"  | 18                     |
| "I280"  | 20                     |
| "I171"  | 23                     |
| "I889"  | 16                     |
| "I168"  | 16                     |
| "I898"  | 9                      |
| "I284"  | 15                     |
| "I767"  | 16                     |
| "I354"  | 16                     |
| "I50"   | 18                     |
| "I512"  | 13                     |
| "I135"  | 9                      |
| "I142"  | 15                     |
| "I834"  | 17                     |
| "I81"   | 12                     |
| "I754"  | 13                     |
| "I621"  | 20                     |
| "I715"  | 10                     |
| "I13"   | 14                     |
| "I574"  | 14                     |
| "I851"  | 16                     |
| "I993"  | 21                     |
| "I685"  | 21                     |
| "I771"  | 15                     |
| "I949"  | 19                     |
| "I970"  | 9                      |
| "I789"  | 16                     |
| "I91"   | 14                     |
| "I953"  | 13                     |
| "I377"  | 9                      |
| "I785"  | 15                     |
| "I585"  | 15                     |
| "I882"  | 17                     |
| "I599"  | 19                     |
| "I28"   | 22                     |
| "I370"  | 18                     |
| "I662"  | 16                     |
| "I892"  | 17                     |
| "I643"  | 18                     |
| "I40"   | 16                     |
| "I218"  | 11                     |
| "I44"   | 16                     |
| "I88"   | 11                     |
| "I695"  | 13                     |
| "I372"  | 15                     |
| "I118"  | 20                     |
| "I732"  | 19                     |
| "I505"  | 20                     |
| "I297"  | 11                     |
| "I461"  | 22                     |
| "I232"  | 14                     |
| "I551"  | 17                     |
| "I469"  | 15                     |
| "I547"  | 23                     |
| "I930"  | 12                     |
| "I27"   | 11                     |
| "I490"  | 11                     |
| "I119"  | 18                     |
| "I594"  | 14                     |
| "I638"  | 14                     |
| "I981"  | 10                     |
| "I74"   | 14                     |
| "I678"  | 14                     |
| "I285"  | 11                     |
| "I815"  | 11                     |
| "I215"  | 19                     |
| "I350"  | 11                     |
| "I548"  | 17                     |
| "I549"  | 9                      |
| "I694"  | 14                     |
| "I905"  | 19                     |
| "I246"  | 16                     |
| "I24"   | 19                     |
| "I417"  | 19                     |
| "I23"   | 14                     |
| "I229"  | 20                     |
| "I479"  | 14                     |
| "I78"   | 18                     |
| "I395"  | 18                     |
| "I527"  | 18                     |
| "I441"  | 17                     |
| "I627"  | 16                     |
| "I334"  | 14                     |
| "I108"  | 15                     |
| "I583"  | 13                     |
| "I46"   | 20                     |
| "I664"  | 12                     |
| "I843"  | 14                     |
| "I622"  | 22                     |
| "I207"  | 11                     |
| "I665"  | 16                     |
| "I998"  | 15                     |
| "I871"  | 17                     |
| "I893"  | 13                     |
| "I652"  | 20                     |
| "I840"  | 14                     |
| "I975"  | 19                     |
| "I440"  | 11                     |
| "I813"  | 16                     |
| "I631"  | 20                     |
| "I605"  | 16                     |
| "I180"  | 15                     |
| "I947"  | 17                     |
| "I398"  | 24                     |
| "I123"  | 16                     |
| "I955"  | 15                     |
| "I183"  | 12                     |
| "I301"  | 13                     |
| "I243"  | 17                     |
| "I721"  | 10                     |
| "I413"  | 12                     |
| "I860"  | 12                     |
| "I633"  | 13                     |
| "I656"  | 16                     |
| "I471"  | 17                     |
| "I150"  | 19                     |
| "I529"  | 13                     |
| "I175"  | 11                     |
| "I357"  | 10                     |
| "I778"  | 9                      |
| "I780"  | 15                     |
| "I489"  | 23                     |
| "I329"  | 11                     |
| "I454"  | 14                     |
| "I533"  | 17                     |
| "I67"   | 8                      |
| "I867"  | 13                     |
| "I635"  | 16                     |
| "I759"  | 17                     |
| "I90"   | 18                     |
| "I162"  | 18                     |
| "I89"   | 20                     |
| "I528"  | 7                      |
| "I908"  | 13                     |
| "I698"  | 16                     |
| "I672"  | 16                     |
| "I206"  | 13                     |
| "I299"  | 12                     |
| "I950"  | 20                     |
| "I724"  | 16                     |
| "I499"  | 6                      |
| "I368"  | 15                     |
| "I423"  | 14                     |
| "I725"  | 16                     |
| "I8"    | 14                     |
| "I167"  | 13                     |
| "I667"  | 16                     |
| "I959"  | 13                     |
| "I658"  | 9                      |
| "I536"  | 13                     |
| "I573"  | 22                     |
| "I746"  | 19                     |
| "I598"  | 16                     |
| "I73"   | 10                     |
| "I738"  | 12                     |
| "I879"  | 15                     |
| "I480"  | 20                     |
| "I343"  | 12                     |
| "I170"  | 17                     |
| "I497"  | 19                     |
| "I507"  | 15                     |
| "I906"  | 19                     |
| "I481"  | 14                     |
| "I375"  | 16                     |
| "I455"  | 12                     |
| "I54"   | 14                     |
| "I773"  | 15                     |
| "I100"  | 15                     |
| "I157"  | 14                     |
| "I201"  | 21                     |
| "I165"  | 17                     |
| "I444"  | 14                     |
| "I919"  | 14                     |
| "I755"  | 14                     |
| "I103"  | 13                     |
| "I609"  | 15                     |
| "I727"  | 20                     |
| "I407"  | 12                     |
| "I163"  | 15                     |
| "I247"  | 19                     |
| "I51"   | 15                     |
| "I979"  | 16                     |
| "I887"  | 13                     |
| "I924"  | 14                     |
| "I45"   | 13                     |
| "I306"  | 16                     |
| "I422"  | 20                     |
| "I87"   | 17                     |
| "I394"  | 19                     |
| "I117"  | 12                     |
| "I910"  | 4                      |
| "I22"   | 13                     |
| "I348"  | 15                     |
| "I991"  | 14                     |
| "I864"  | 11                     |
| "I445"  | 21                     |
| "I909"  | 11                     |
| "I683"  | 16                     |
| "I382"  | 21                     |
| "I581"  | 15                     |
| "I577"  | 16                     |
| "I148"  | 13                     |
| "I701"  | 12                     |
| "I654"  | 16                     |
| "I799"  | 12                     |
| "I916"  | 14                     |
| "I414"  | 20                     |
| "I514"  | 13                     |
| "I995"  | 11                     |
| "I689"  | 16                     |
| "I712"  | 14                     |
| "I804"  | 22                     |
| "I866"  | 17                     |
| "I53"   | 17                     |
| "I710"  | 20                     |
| "I143"  | 17                     |
| "I181"  | 19                     |
| "I41"   | 17                     |
| "I86"   | 4                      |
| "I659"  | 15                     |
| "I376"  | 16                     |
| "I36"   | 12                     |
| "I337"  | 20                     |
| "I141"  | 17                     |
| "I76"   | 10                     |
| "I339"  | 16                     |
| "I630"  | 13                     |
| "I524"  | 22                     |
| "I932"  | 13                     |
| "I661"  | 12                     |
| "I14"   | 13                     |
| "I760"  | 18                     |
| "I645"  | 15                     |
| "I597"  | 19                     |
| "I378"  | 16                     |
| "I371"  | 18                     |
| "I593"  | 10                     |
| "I571"  | 12                     |
| "I768"  | 20                     |
| "I356"  | 15                     |
| "I520"  | 20                     |
| "I12"   | 15                     |
| "I392"  | 22                     |
| "I984"  | 16                     |
| "I484"  | 12                     |
| "I972"  | 18                     |
| "I443"  | 9                      |
| "I881"  | 20                     |
| "I61"   | 13                     |
| "I556"  | 15                     |
| "I542"  | 12                     |
| "I184"  | 14                     |
| "I508"  | 17                     |
| "I550"  | 19                     |
| "I697"  | 16                     |
| "I938"  | 15                     |
| "I154"  | 15                     |
| "I587"  | 20                     |
| "I128"  | 16                     |
| "I347"  | 8                      |
| "I743"  | 13                     |
| "I178"  | 14                     |
| "I657"  | 27                     |
| "I734"  | 18                     |
| "I419"  | 17                     |
| "I109"  | 13                     |
| "I155"  | 11                     |
| "I500"  | 17                     |
| "I584"  | 17                     |
| "I390"  | 18                     |
| "I794"  | 19                     |
| "I304"  | 17                     |
| "I253"  | 16                     |
| "I409"  | 12                     |
| "I568"  | 14                     |
| "I190"  | 11                     |
| "I682"  | 13                     |
| "I235"  | 15                     |
| "I379"  | 11                     |
| "I234"  | 19                     |
| "I958"  | 20                     |
| "I193"  | 17                     |
| "I814"  | 16                     |
| "I324"  | 12                     |
| "I946"  | 17                     |
| "I586"  | 14                     |
| "I460"  | 17                     |
| "I943"  | 19                     |
| "I819"  | 10                     |
| "I567"  | 10                     |
| "I790"  | 20                     |
| "I896"  | 12                     |
| "I951"  | 15                     |
| "I996"  | 15                     |
| "I673"  | 9                      |
| "I43"   | 16                     |
| "I619"  | 14                     |
| "I666"  | 19                     |
| "I112"  | 16                     |
| "I365"  | 13                     |
| "I399"  | 24                     |
| "I614"  | 13                     |
| "I20"   | 7                      |
| "I359"  | 18                     |
| "I532"  | 17                     |
| "I393"  | 15                     |
| "I492"  | 18                     |
| "I513"  | 19                     |
| "I322"  | 16                     |
| "I309"  | 22                     |
| "I160"  | 10                     |
| "I708"  | 13                     |
| "I973"  | 11                     |
| "I449"  | 12                     |
| "I803"  | 11                     |
| "I669"  | 23                     |
| "I779"  | 20                     |
| "I503"  | 11                     |
| "I723"  | 15                     |
| "I318"  | 19                     |
| "I125"  | 14                     |
| "I876"  | 10                     |
| "I364"  | 17                     |
| "I793"  | 13                     |
| "I107"  | 11                     |
| "I816"  | 21                     |
| "I79"   | 18                     |
| "I282"  | 11                     |
| "I648"  | 10                     |
| "I271"  | 15                     |
| "I29"   | 9                      |
| "I639"  | 21                     |
| "I582"  | 17                     |
| "I197"  | 16                     |
| "I373"  | 13                     |
| "I822"  | 16                     |
| "I240"  | 13                     |
| "I493"  | 14                     |
| "I374"  | 19                     |
| "I149"  | 17                     |
| "I185"  | 14                     |
| "I869"  | 17                     |
| "I5"    | 9                      |
| "I300"  | 16                     |
| "I820"  | 14                     |
| "I566"  | 14                     |
| "I756"  | 16                     |
| "I750"  | 24                     |
| "I653"  | 11                     |
| "I211"  | 12                     |
| "I446"  | 24                     |
| "I775"  | 14                     |
| "I977"  | 8                      |
| "I808"  | 11                     |
| "I841"  | 15                     |
| "I886"  | 10                     |
| "I198"  | 18                     |
| "I174"  | 17                     |
| "I765"  | 10                     |
| "I426"  | 10                     |
| "I848"  | 13                     |
| "I467"  | 17                     |
| "I691"  | 17                     |
| "I735"  | 24                     |
| "I745"  | 12                     |
| "I494"  | 14                     |
| "I782"  | 12                     |
| "I729"  | 12                     |
| "I988"  | 10                     |
| "I38"   | 12                     |
| "I69"   | 13                     |
| "I95"   | 13                     |
| "I383"  | 20                     |
| "I463"  | 13                     |
| "I214"  | 17                     |
| "I954"  | 13                     |
| "I106"  | 15                     |
| "I21"   | 13                     |
| "I52"   | 18                     |
| "I156"  | 17                     |
| "I961"  | 17                     |
| "I632"  | 18                     |
| "I595"  | 9                      |
| "I458"  | 13                     |
| "I974"  | 10                     |
| "I863"  | 5                      |
| "I331"  | 8                      |
| "I647"  | 16                     |
| "I191"  | 13                     |
| "I164"  | 13                     |
| "I401"  | 14                     |
| "I166"  | 15                     |
| "I798"  | 16                     |
| "I629"  | 10                     |
| "I688"  | 13                     |
| "I902"  | 9                      |
| "I173"  | 18                     |
| "I731"  | 19                     |
| "I894"  | 13                     |
| "I868"  | 14                     |
| "I367"  | 9                      |
| "I408"  | 13                     |
| "I224"  | 16                     |
| "I432"  | 19                     |
| "I992"  | 16                     |
| "I525"  | 13                     |
| "I763"  | 18                     |
| "I104"  | 16                     |
| "I238"  | 10                     |
| "I410"  | 17                     |
| "I84"   | 12                     |
| "I878"  | 21                     |
| "I983"  | 17                     |
| "I877"  | 13                     |
| "I15"   | 25                     |
| "I430"  | 12                     |
| "I353"  | 15                     |
| "I200"  | 12                     |
| "I314"  | 20                     |
| "I874"  | 18                     |
| "I618"  | 17                     |
| "I795"  | 14                     |
| "I997"  | 17                     |
| "I733"  | 22                     |
| "I6"    | 13                     |
| "I952"  | 8                      |
| "I462"  | 19                     |
| "I880"  | 17                     |
| "I245"  | 12                     |
| "I615"  | 17                     |
| "I177"  | 13                     |
| "I990"  | 14                     |
| "I502"  | 10                     |
| "I859"  | 18                     |
| "I637"  | 15                     |
| "I674"  | 20                     |
| "I707"  | 19                     |
| "I818"  | 12                     |
| "I900"  | 15                     |
| "I133"  | 19                     |
| "I302"  | 17                     |
| "I748"  | 14                     |
| "I692"  | 17                     |
| "I873"  | 20                     |
| "I535"  | 11                     |
| "I307"  | 12                     |
| "I96"   | 16                     |
| "I805"  | 13                     |
| "I861"  | 12                     |
| "I310"  | 14                     |
| "I761"  | 17                     |
| "I596"  | 13                     |
| "I273"  | 13                     |
| "I296"  | 14                     |
| "I762"  | 9                      |
| "I158"  | 16                     |
| "I523"  | 10                     |
| "I434"  | 19                     |
| "I580"  | 19                     |
| "I330"  | 14                     |
| "I134"  | 11                     |
| "I806"  | 11                     |
| "I681"  | 16                     |
| "I717"  | 15                     |
| "I668"  | 9                      |
| "I338"  | 16                     |
| "I213"  | 11                     |
| "I121"  | 7                      |
| "I71"   | 7                      |
| "I865"  | 11                     |
| "I17"   | 6                      |
| "I47"   | 15                     |
| "I147"  | 12                     |
| "I623"  | 11                     |
| "I453"  | 11                     |
| "I488"  | 12                     |
| "I824"  | 15                     |
| "I288"  | 7                      |
| "I18"   | 17                     |
| "I641"  | 16                     |
| "I396"  | 16                     |
| "I976"  | 10                     |
| "I923"  | 13                     |
| "I823"  | 11                     |
| "I589"  | 16                     |
| "I839"  | 13                     |
| "I537"  | 7                      |
| "I102"  | 18                     |
| "I420"  | 14                     |
| "I850"  | 14                     |
| "I626"  | 11                     |
| "I564"  | 8                      |
| "I913"  | 14                     |
| "I406"  | 13                     |
| "I233"  | 13                     |
| "I530"  | 14                     |
| "I969"  | 8                      |
| "I776"  | 11                     |
| "I675"  | 15                     |
| "I482"  | 20                     |
| "I179"  | 18                     |
| "I604"  | 16                     |
| "I341"  | 13                     |
| "I312"  | 8                      |
| "I891"  | 14                     |
| "I999"  | 16                     |
| "I311"  | 11                     |
| "I217"  | 10                     |
| "I852"  | 17                     |
| "I884"  | 13                     |
| "I917"  | 18                     |
| "I105"  | 15                     |
| "I948"  | 10                     |
| "I92"   | 13                     |
| "I72"   | 11                     |
| "I131"  | 14                     |
| "I11"   | 9                      |
| "I239"  | 11                     |
| "I369"  | 11                     |
| "I219"  | 9                      |
| "I927"  | 8                      |
| "I511"  | 13                     |
| "I122"  | 20                     |
| "I835"  | 11                     |
| "I978"  | 11                     |
| "I472"  | 5                      |
| "I3"    | 14                     |
| "I855"  | 9                      |
| "I934"  | 13                     |
| "I967"  | 17                     |
| "I99"   | 13                     |
| "I640"  | 19                     |
| "I447"  | 15                     |
| "I412"  | 14                     |
| "I578"  | 10                     |
| "I387"  | 9                      |
| "I740"  | 11                     |
| "I560"  | 11                     |
| "I428"  | 10                     |
| "I628"  | 19                     |
| "I16"   | 16                     |
| "I624"  | 19                     |
| "I203"  | 13                     |
| "I450"  | 19                     |
| "I810"  | 16                     |
| "I620"  | 13                     |
| "I146"  | 16                     |
| "I429"  | 11                     |
| "I705"  | 18                     |
| "I957"  | 7                      |
| "I195"  | 15                     |
| "I298"  | 9                      |
| "I269"  | 18                     |
| "I787"  | 11                     |
| "I844"  | 12                     |
| "I172"  | 8                      |
| "I572"  | 13                     |
| "I792"  | 12                     |
| "I557"  | 9                      |
| "I769"  | 13                     |
| "I442"  | 10                     |
| "I883"  | 11                     |
| "I465"  | 14                     |
| "I519"  | 15                     |
| "I483"  | 13                     |
| "I1"    | 11                     |
| "I223"  | 15                     |
| "I93"   | 9                      |
| "I836"  | 14                     |
| "I821"  | 8                      |
| "I279"  | 15                     |
| "I610"  | 10                     |
| "I897"  | 11                     |
| "I888"  | 16                     |
| "I966"  | 14                     |
| "I962"  | 7                      |
| "I427"  | 17                     |
| "I283"  | 17                     |
| "I936"  | 12                     |
| "I832"  | 10                     |
| "I189"  | 18                     |
| "I935"  | 11                     |
| "I344"  | 15                     |
| "I342"  | 10                     |
| "I700"  | 12                     |
| "I711"  | 10                     |
| "I915"  | 15                     |
| "I847"  | 5                      |
+----------------------------------+
